time,pos_x_w,pos_y_w,yaw_w,laser_0,laser_1,laser_2,laser_3,laser_4,laser_5,laser_6,laser_7,laser_8,laser_9,laser_10,laser_11,laser_12,laser_13,laser_14,laser_15,laser_16,laser_17,laser_18,laser_19,laser_20,laser_21,laser_22,laser_23
303.82,-49.02436986743766,66.73756933234424,-3.1166322814126235,0.8346260786056519,2.503235340118408,10.0,10.0,2.578960418701172,1.9842276573181152,1.7055386304855347,1.600067138671875,1.6039320230484009,1.7318053245544434,1.9996848106384277,2.405332565307617,2.5971908569335938,3.0321133136749268,10.0,0.8027406334877014,0.507253110408783,0.39990392327308655,0.3376772403717041,0.3112345039844513,0.3285878300666809,0.34484145045280457,0.4121879041194916,0.5243748426437378
304.02,-49.02437714487626,66.73784113697324,-3.115103615378154,0.8303399682044983,2.50883150100708,10.0,10.0,2.589977264404297,1.9845649003982544,1.7083674669265747,1.591017484664917,1.5997920036315918,1.7010951042175293,2.0178542137145996,2.4091691970825195,2.594675064086914,3.043482542037964,10.0,0.8229954242706299,0.5103034377098083,0.40253323316574097,0.34220239520072937,0.3299243748188019,0.3061910569667816,0.3410644829273224,0.4149511456489563,0.5328404307365417
304.22,-49.02438695064759,66.73820113285464,-3.113085760164242,0.8208155632019043,2.488186836242676,10.0,10.0,2.5847949981689453,1.983672857284546,1.716652274131775,1.591397762298584,1.6074918508529663,1.7100539207458496,2.0133934020996094,2.4072628021240234,2.581634759902954,3.05049467086792,10.0,0.8055257797241211,0.530368983745575,0.3815263509750366,0.3353809714317322,0.32906103134155273,0.3236657381057739,0.3520335257053375,0.4129253923892975,0.5260164141654968
304.42,-49.024389856758226,66.73833772757965,-3.112283617584544,0.8342217803001404,2.5212063789367676,10.0,10.0,2.5711333751678467,1.99244225025177,1.7188985347747803,1.5981606245040894,1.5934756994247437,1.7243738174438477,2.0220224857330322,2.415893316268921,2.599519968032837,3.048532724380493,10.0,0.7920110821723938,0.5053882598876953,0.3924153745174408,0.3469308912754059,0.3142068088054657,0.31681153178215027,0.33780547976493835,0.41602015495300293,0.5281187295913696
304.62,-49.02438311340547,66.73827811667826,-3.112623803551714,0.8401288390159607,2.5025746822357178,10.0,10.0,2.5855002403259277,1.9842721223831177,1.72394859790802,1.5979806184768677,1.6072804927825928,1.7082548141479492,2.016301393508911,2.409196615219116,2.615086555480957,3.049528121948242,10.0,0.8078705668449402,0.5224836468696594,0.3868374526500702,0.3456641137599945,0.31378036737442017,0.29987263679504395,0.34943315386772156,0.4049079120159149,0.5364985466003418
304.82,-49.024379098330286,66.73828765270066,-3.1125754006389137,0.8232611417770386,2.522336483001709,10.0,10.0,2.5734453201293945,1.9759808778762817,1.7061861753463745,1.6059664487838745,1.586670160293579,1.723305106163025,2.015604019165039,2.412341356277466,2.5889735221862793,3.048232078552246,10.0,0.794848620891571,0.5175549983978271,0.38288506865501404,0.3433819115161896,0.31086161732673645,0.3293655812740326,0.3382045030593872,0.4175984561443329,0.5436275601387024
305.02,-49.02437450884823,66.73828302371658,-3.1126066334010787,0.8256785869598389,2.5131266117095947,10.0,10.0,2.5732901096343994,1.982403039932251,1.7140394449234009,1.586508870124817,1.5995312929153442,1.7367208003997803,1.9945976734161377,2.399519681930542,2.590031623840332,3.043649435043335,10.0,0.8010319471359253,0.5238564014434814,0.38240286707878113,0.33941346406936646,0.3147430419921875,0.3161340355873108,0.3583286702632904,0.404805451631546,0.5416795611381531
305.22,-49.02436986082909,66.73827662264144,-3.1126478451778627,0.8212915062904358,2.4978415966033936,10.0,10.0,2.5760931968688965,1.9947173595428467,1.7128733396530151,1.5940654277801514,1.6026166677474976,1.711695909500122,2.019042730331421,2.3989052772521973,2.591838836669922,3.0233848094940186,10.0,0.7968366742134094,0.5096297264099121,0.40053072571754456,0.3424539566040039,0.31893813610076904,0.32646000385284424,0.3438839614391327,0.402656227350235,0.542503297328949
305.42,-49.024366281641136,66.73829774136122,-3.1125344617504402,0.8244398832321167,2.525719165802002,10.0,10.0,2.584296226501465,1.9801359176635742,1.7233918905258179,1.5903058052062988,1.5901546478271484,1.721022605895996,2.0095841884613037,2.4013078212738037,2.579430341720581,3.0597610473632812,10.0,0.7962356209754944,0.531941831111908,0.3878704607486725,0.3344558775424957,0.33090832829475403,0.33355769515037537,0.33858680725097656,0.4060209393501282,0.5399699211120605
305.62,-49.02436828700674,66.7384398199431,-3.1117370916084015,0.8407682776451111,2.5117228031158447,10.0,10.0,2.590507745742798,1.9962372779846191,1.7333799600601196,1.6017189025878906,1.5914084911346436,1.735122799873352,2.010305881500244,2.4101967811584473,2.571537971496582,3.0402629375457764,10.0,0.8116694688796997,0.5015594363212585,0.41146448254585266,0.3426731824874878,0.31412357091903687,0.3293103277683258,0.34066489338874817,0.4189731180667877,0.5288779139518738
